circumstances,question,answer,multiplechoice
前提,盗窃人年龄未满十六周岁或者精神状态不正常？,是|否,0
情节,盗窃人是否存在以下情况?,二年内盗窃三次以上|入户盗窃|携带凶器盗窃|在公共场所或者公共交通工具上盗窃他人随身携带的财物|曾因盗窃受过刑事处罚|一年内因盗窃罪受过行政处罚|组织、控制未成年人盗窃|在自然灾害、事故灾害、社会安全事件等突发事件发生地盗窃|盗窃残疾人、孤寡老人、丧失劳动能力人的财物|在医院盗窃病人或者其亲友财物|盗窃救灾、抢险、防汛、优抚、扶贫、移民、救济款物|因盗窃造成严重后果|以上都没有,1
量刑,盗窃总数额（元人民币）?,0-1500（不含）|1500（含）-3000（不含）|3000（含）-40000（不含）|40000（含）-80000（不含）|80000（含）-100000（不含）|100000（含）-150000（不含）|150000（含）-200000（不含）|200000（含）-250000（不含）|250000（含）-300000（不含）|300000（含）-350000（不含）|350000（含）-400000（不含）|400000（含）以上,0
